UO ID,Sample,Component Name,Area,IS Area,Area Ratio,Retention Time,pmol,LOQ<0.5pmol
T101,1,16:0GluCer,2.78E+03,8.68E+03,0.32,12.01,6.4,
T103,2,16:0GluCer,2.18E+03,5.93E+03,0.368,11.97,7.4,
T104,3,16:0GluCer,1.64E+03,5.53E+03,0.297,12.17,5.9,
T105,4,16:0GluCer,1.50E+03,8.79E+03,0.171,12.12,3.3,
T106,5,16:0GluCer,4.73E+03,7.34E+03,0.645,11.9,13.1,
T107,6,16:0GluCer,9.36E+02,3.26E+03,0.287,12.07,5.7,
T108,7,16:0GluCer,3.60E+03,9.61E+03,0.375,11.92,7.5,
T109,8,16:0GluCer,1.16E+03,5.42E+03,0.215,12.08,4.2,
T201,9,16:0GluCer,9.36E+02,5.24E+03,0.178,12.05,3.5,
T202,10,16:0GluCer,1.22E+03,5.84E+03,0.209,12.27,4.1,
T203,11,16:0GluCer,1.47E+03,4.54E+03,0.325,12.2,6.5,
T204,12,16:0GluCer,1.67E+03,3.46E+03,0.484,12.07,9.8,
T205,13,16:0GluCer,1.28E+03,5.16E+03,0.247,12.1,4.9,
T304,14,16:0GluCer,1.50E+03,4.45E+03,0.338,11.92,6.8,
T305,15,16:0GluCer,1.02E+03,5.56E+03,0.184,12.16,3.6,
T306,16,16:0GluCer,1.64E+03,4.52E+03,0.364,12.3,7.3,
T307,17,16:0GluCer,1.13E+03,6.26E+03,0.181,12.09,3.5,
T308,18,16:0GluCer,7.94E+02,3.46E+03,0.23,11.92,4.5,
T309,19,16:0GluCer,1.40E+03,4.40E+03,0.318,12,6.4,
T311,20,16:0GluCer,1.01E+03,4.39E+03,0.23,11.92,4.5,
T312,21,16:0GluCer,1.22E+03,4.28E+03,0.285,12.12,5.7,
T400,22,16:0GluCer,1.05E+03,4.93E+03,0.213,11.93,4.2,
T401,23,16:0GluCer,1.13E+03,4.60E+03,0.246,11.96,4.9,
T402,24,16:0GluCer,1.47E+03,4.31E+03,0.342,12.17,6.8,
T404,25,16:0GluCer,1.36E+03,4.96E+03,0.274,12.1,5.4,
T405,26,16:0GluCer,1.64E+03,4.87E+03,0.337,12.09,6.7,
T406,27,16:0GluCer,1.22E+03,5.47E+03,0.223,11.93,4.4,
T407,28,16:0GluCer,9.07E+02,4.79E+03,0.189,12.07,3.7,
T408,29,16:0GluCer,2.21E+03,6.63E+03,0.333,11.91,6.7,
T500,30,16:0GluCer,1.08E+03,4.62E+03,0.233,11.93,4.6,
T501,31,16:0GluCer,8.49E+02,5.16E+03,0.164,12.03,3.2,
T502,32,16:0GluCer,1.02E+03,4.37E+03,0.234,12.08,4.6,
T503,33,16:0GluCer,9.63E+02,5.19E+03,0.186,12.25,3.6,
T504,34,16:0GluCer,6.52E+02,4.74E+03,0.138,11.91,2.6,
T505,35,16:0GluCer,6.80E+02,4.14E+03,0.164,12.15,3.2,
T506,36,16:0GluCer,7.08E+02,3.52E+03,0.201,11.94,3.9,
T101,1,18:0GluCer,4.45E+03,8.68E+03,0.513,11.92,13.4,
T103,2,18:0GluCer,2.35E+03,5.93E+03,0.397,11.88,10.3,
T104,3,18:0GluCer,1.70E+03,5.53E+03,0.308,12.08,7.9,
T105,4,18:0GluCer,2.55E+03,8.79E+03,0.29,12.02,7.5,
T106,5,18:0GluCer,1.52E+04,7.34E+03,2.069,11.8,55.2,
T107,6,18:0GluCer,2.30E+03,3.26E+03,0.705,11.97,18.6,
T108,7,18:0GluCer,4.22E+03,9.61E+03,0.439,11.81,11.5,
T109,8,18:0GluCer,2.21E+03,5.42E+03,0.408,11.99,10.6,
T201,9,18:0GluCer,1.36E+03,5.24E+03,0.26,11.95,6.7,
T202,10,18:0GluCer,1.70E+03,5.84E+03,0.291,12.17,7.5,
T203,11,18:0GluCer,1.30E+03,4.54E+03,0.288,12.12,7.4,
T204,12,18:0GluCer,1.70E+03,3.46E+03,0.492,11.97,12.9,
T205,13,18:0GluCer,2.07E+03,5.16E+03,0.401,12,10.4,
T304,14,18:0GluCer,1.33E+03,4.45E+03,0.299,11.83,7.7,
T305,15,18:0GluCer,1.22E+03,5.56E+03,0.219,12.05,5.6,
T306,16,18:0GluCer,1.73E+03,4.52E+03,0.382,12.21,9.9,
T307,17,18:0GluCer,1.53E+03,6.26E+03,0.244,12,6.2,
T308,18,18:0GluCer,1.87E+03,3.46E+03,0.541,11.82,14.2,
T309,19,18:0GluCer,1.47E+03,4.40E+03,0.335,11.88,8.7,
T311,20,18:0GluCer,2.13E+03,4.39E+03,0.484,11.82,12.7,
T312,21,18:0GluCer,1.45E+03,4.28E+03,0.338,12.02,8.7,
T400,22,18:0GluCer,2.33E+03,4.93E+03,0.472,11.85,12.3,
T401,23,18:0GluCer,2.04E+03,4.60E+03,0.444,11.85,11.6,
T402,24,18:0GluCer,2.33E+03,4.31E+03,0.539,12.07,14.1,
T404,25,18:0GluCer,1.67E+03,4.96E+03,0.337,12,8.7,
T405,26,18:0GluCer,1.33E+03,4.87E+03,0.273,12.01,7.0,
T406,27,18:0GluCer,1.42E+03,5.47E+03,0.259,11.83,6.6,
T407,28,18:0GluCer,1.13E+03,4.79E+03,0.237,11.99,6.0,
T408,29,18:0GluCer,2.69E+03,6.63E+03,0.406,11.81,10.6,
T500,30,18:0GluCer,1.64E+03,4.62E+03,0.356,11.83,9.2,
T501,31,18:0GluCer,1.90E+03,5.16E+03,0.368,11.92,9.5,
T502,32,18:0GluCer,1.19E+03,4.37E+03,0.273,11.98,7.0,
T503,33,18:0GluCer,1.62E+03,5.19E+03,0.311,12.15,8.0,
T504,34,18:0GluCer,1.16E+03,4.74E+03,0.245,11.82,6.2,
T505,35,18:0GluCer,1.84E+03,4.14E+03,0.445,12.04,11.6,
T506,36,18:0GluCer,9.64E+02,3.52E+03,0.274,11.83,7.0,
T101,1,20:0GluCer,5.95E+02,8.68E+03,0.069,11.81,1.5,
T103,2,20:0GluCer,3.69E+02,5.93E+03,0.062,11.79,1.3,
T104,3,20:0GluCer,3.68E+02,5.53E+03,0.067,11.99,1.5,
T105,4,20:0GluCer,2.27E+02,8.79E+03,0.026,11.93,0.4,
T106,5,20:0GluCer,1.36E+03,7.34E+03,0.185,11.72,4.6,
T107,6,20:0GluCer,2.27E+02,3.26E+03,0.07,11.87,1.6,
T108,7,20:0GluCer,1.25E+03,9.61E+03,0.13,11.72,3.2,
T109,8,20:0GluCer,4.25E+02,5.42E+03,0.079,11.9,1.8,
T201,9,20:0GluCer,3.97E+02,5.24E+03,0.076,11.87,1.7,
T202,10,20:0GluCer,4.25E+02,5.84E+03,0.073,12.09,1.6,
T203,11,20:0GluCer,4.30E+02,4.54E+03,0.095,12.03,2.2,
T204,12,20:0GluCer,3.08E+02,3.46E+03,0.089,11.91,2.1,
T205,13,20:0GluCer,6.52E+02,5.16E+03,0.126,11.91,3.1,
T304,14,20:0GluCer,3.12E+02,4.45E+03,0.07,11.73,1.6,
T305,15,20:0GluCer,1.98E+02,5.56E+03,0.036,11.97,0.6,
T306,16,20:0GluCer,4.82E+02,4.52E+03,0.107,12.11,2.5,
T307,17,20:0GluCer,3.41E+02,6.26E+03,0.054,11.92,1.1,
T308,18,20:0GluCer,1.99E+02,3.46E+03,0.057,11.72,1.2,
T309,19,20:0GluCer,1.69E+02,4.40E+03,0.038,11.78,0.7,
T311,20,20:0GluCer,3.97E+02,4.39E+03,0.09,11.74,2.1,
T312,21,20:0GluCer,3.12E+02,4.28E+03,0.073,11.94,1.6,
T400,22,20:0GluCer,3.40E+02,4.93E+03,0.069,11.75,1.5,
T401,23,20:0GluCer,3.12E+02,4.60E+03,0.068,11.78,1.5,
T402,24,20:0GluCer,4.25E+02,4.31E+03,0.099,11.98,2.3,
T404,25,20:0GluCer,4.82E+02,4.96E+03,0.097,11.9,2.3,
T405,26,20:0GluCer,4.25E+02,4.87E+03,0.087,11.93,2.0,
T406,27,20:0GluCer,2.28E+02,5.47E+03,0.042,11.74,0.8,
T407,28,20:0GluCer,2.27E+02,4.79E+03,0.047,11.9,0.9,
T408,29,20:0GluCer,3.69E+02,6.63E+03,0.056,11.73,1.2,
T500,30,20:0GluCer,2.55E+02,4.62E+03,0.055,11.74,1.2,
T501,31,20:0GluCer,1.42E+02,5.16E+03,0.027,11.85,0.4,
T502,32,20:0GluCer,2.27E+02,4.37E+03,0.052,11.9,1.1,
T503,33,20:0GluCer,2.04E+02,5.19E+03,0.039,12.08,0.7,
T504,34,20:0GluCer,4.82E+02,4.74E+03,0.102,11.73,2.4,
T505,35,20:0GluCer,1.99E+02,4.14E+03,0.048,11.94,1.0,
T506,36,20:0GluCer,1.99E+02,3.52E+03,0.056,11.74,1.2,
T101,1,22:0GluCer,3.40E+03,8.68E+03,0.392,11.75,7.8,
T103,2,22:0GluCer,1.84E+03,5.93E+03,0.311,11.71,6.1,
T104,3,22:0GluCer,2.35E+03,5.53E+03,0.426,11.91,8.5,
T105,4,22:0GluCer,2.01E+03,8.79E+03,0.229,11.85,4.4,
T106,5,22:0GluCer,5.22E+03,7.34E+03,0.711,11.64,14.3,
T107,6,22:0GluCer,1.53E+03,3.26E+03,0.47,11.81,9.3,
T108,7,22:0GluCer,4.22E+03,9.61E+03,0.44,11.65,8.7,
T109,8,22:0GluCer,1.45E+03,5.42E+03,0.267,11.83,5.2,
T201,9,22:0GluCer,2.53E+03,5.24E+03,0.482,11.79,9.6,
T202,10,22:0GluCer,2.92E+03,5.84E+03,0.5,12.02,10.0,
T203,11,22:0GluCer,2.24E+03,4.54E+03,0.494,11.95,9.8,
T204,12,22:0GluCer,3.71E+03,3.46E+03,1.075,11.81,21.7,
T205,13,22:0GluCer,2.80E+03,5.16E+03,0.543,11.84,10.8,
T304,14,22:0GluCer,1.19E+03,4.45E+03,0.267,11.66,5.2,
T305,15,22:0GluCer,1.30E+03,5.56E+03,0.235,11.88,4.6,
T306,16,22:0GluCer,2.33E+03,4.52E+03,0.514,12.04,10.2,
T307,17,22:0GluCer,1.16E+03,6.26E+03,0.186,11.84,3.6,
T308,18,22:0GluCer,6.53E+02,3.46E+03,0.189,11.65,3.6,
T309,19,22:0GluCer,2.24E+03,4.40E+03,0.509,11.7,10.1,
T311,20,22:0GluCer,2.07E+03,4.39E+03,0.471,11.66,9.4,
T312,21,22:0GluCer,1.59E+03,4.28E+03,0.371,11.86,7.3,
T400,22,22:0GluCer,2.75E+03,4.93E+03,0.558,11.68,11.1,
T401,23,22:0GluCer,3.46E+03,4.60E+03,0.752,11.69,15.1,
T402,24,22:0GluCer,3.43E+03,4.31E+03,0.796,11.89,16.0,
T404,25,22:0GluCer,3.43E+03,4.96E+03,0.692,11.84,13.9,
T405,26,22:0GluCer,2.72E+03,4.87E+03,0.559,11.83,11.2,
T406,27,22:0GluCer,1.87E+03,5.47E+03,0.342,11.66,6.7,
T407,28,22:0GluCer,1.73E+03,4.79E+03,0.361,11.81,7.1,
T408,29,22:0GluCer,4.05E+03,6.63E+03,0.611,11.65,12.2,
T500,30,22:0GluCer,1.79E+03,4.62E+03,0.386,11.66,7.6,
T501,31,22:0GluCer,1.45E+03,5.16E+03,0.28,11.76,5.5,
T502,32,22:0GluCer,9.36E+02,4.37E+03,0.214,11.82,4.1,
T503,33,22:0GluCer,1.30E+03,5.19E+03,0.251,11.99,4.9,
T504,34,22:0GluCer,1.13E+03,4.74E+03,0.239,11.67,4.6,
T505,35,22:0GluCer,1.11E+03,4.14E+03,0.267,11.87,5.2,
T506,36,22:0GluCer,1.05E+03,3.52E+03,0.298,11.67,5.8,
T101,1,23:0GluCer,1.81E+03,8.68E+03,0.209,11.71,4.0,
T103,2,23:0GluCer,1.13E+03,5.93E+03,0.191,11.68,3.7,
T104,3,23:0GluCer,9.62E+02,5.53E+03,0.174,11.87,3.3,
T105,4,23:0GluCer,1.16E+03,8.79E+03,0.132,11.81,2.5,
T106,5,23:0GluCer,3.23E+03,7.34E+03,0.44,11.61,8.7,
T107,6,23:0GluCer,1.08E+03,3.26E+03,0.331,11.77,6.5,
T108,7,23:0GluCer,1.76E+03,9.61E+03,0.183,11.62,3.5,
T109,8,23:0GluCer,5.95E+02,5.42E+03,0.11,11.79,2.0,
T201,9,23:0GluCer,4.65E+03,5.24E+03,0.887,12.12,17.8,
T202,10,23:0GluCer,2.26E+02,5.84E+03,0.039,11.99,0.6,
T203,11,23:0GluCer,3.40E+02,4.54E+03,0.075,11.91,1.3,
T204,12,23:0GluCer,4.25E+02,3.46E+03,0.123,11.76,2.3,
T205,13,23:0GluCer,3.65E+02,5.16E+03,0.071,11.81,1.2,
T304,14,23:0GluCer,7.66E+02,4.45E+03,0.172,11.63,3.3,
T305,15,23:0GluCer,5.11E+02,5.56E+03,0.092,11.86,1.7,
T306,16,23:0GluCer,6.52E+02,4.52E+03,0.144,12,2.7,
T307,17,23:0GluCer,5.70E+02,6.26E+03,0.091,11.79,1.6,
T308,18,23:0GluCer,6.22E+02,3.46E+03,0.18,11.62,3.4,
T309,19,23:0GluCer,7.94E+02,4.40E+03,0.18,11.66,3.4,
T311,20,23:0GluCer,1.13E+03,4.39E+03,0.258,11.63,5.0,
T312,21,23:0GluCer,2.59E+02,4.28E+03,0.061,11.83,1.0,
T400,22,23:0GluCer,5.67E+02,4.93E+03,0.115,11.64,2.1,
T401,23,23:0GluCer,3.69E+02,4.60E+03,0.08,11.65,1.4,
T402,24,23:0GluCer,2.12E+02,4.31E+03,0.049,11.86,0.8,
T404,25,23:0GluCer,7.94E+02,4.96E+03,0.16,11.79,3.0,
T405,26,23:0GluCer,7.09E+02,4.87E+03,0.145,11.8,2.7,
T406,27,23:0GluCer,3.40E+02,5.47E+03,0.062,11.64,1.0,
T407,28,23:0GluCer,3.69E+02,4.79E+03,0.077,11.8,1.3,
T408,29,23:0GluCer,4.25E+02,6.63E+03,0.064,11.62,1.1,
T500,30,23:0GluCer,9.64E+02,4.62E+03,0.209,11.62,4.0,
T501,31,23:0GluCer,7.65E+02,5.16E+03,0.148,11.71,2.8,
T502,32,23:0GluCer,3.12E+02,4.37E+03,0.071,11.77,1.2,
T503,33,23:0GluCer,4.43E+02,5.19E+03,0.085,11.96,1.5,
T504,34,23:0GluCer,8.79E+02,4.74E+03,0.186,11.63,3.6,
T505,35,23:0GluCer,8.22E+02,4.14E+03,0.199,11.83,3.8,
T506,36,23:0GluCer,5.10E+02,3.52E+03,0.145,11.63,2.7,
T101,1,24:0GluCer,4.96E+03,8.68E+03,0.572,11.68,11.4,
T103,2,24:0GluCer,2.30E+03,5.93E+03,0.387,11.64,7.7,
T104,3,24:0GluCer,2.69E+03,5.53E+03,0.487,11.84,9.7,
T105,4,24:0GluCer,2.81E+03,8.79E+03,0.319,11.78,6.3,
T106,5,24:0GluCer,7.68E+03,7.34E+03,1.046,11.57,21.1,
T107,6,24:0GluCer,2.58E+03,3.26E+03,0.792,11.74,15.9,
T108,7,24:0GluCer,6.38E+03,9.61E+03,0.664,11.58,13.3,
T109,8,24:0GluCer,2.44E+03,5.42E+03,0.45,11.76,8.9,
T201,9,24:0GluCer,2.44E+03,5.24E+03,0.465,11.72,9.2,
T202,10,24:0GluCer,2.44E+03,5.84E+03,0.417,11.95,8.3,
T203,11,24:0GluCer,1.59E+03,4.54E+03,0.35,11.88,6.9,
T204,12,24:0GluCer,3.04E+03,3.46E+03,0.879,11.73,17.7,
T205,13,24:0GluCer,2.47E+03,5.16E+03,0.479,11.77,9.5,
T304,14,24:0GluCer,1.70E+03,4.45E+03,0.382,11.59,7.6,
T305,15,24:0GluCer,1.14E+03,5.56E+03,0.204,11.82,3.9,
T306,16,24:0GluCer,2.16E+03,4.52E+03,0.477,11.96,9.5,
T307,17,24:0GluCer,1.42E+03,6.26E+03,0.226,11.77,4.4,
T308,18,24:0GluCer,1.22E+03,3.46E+03,0.352,11.59,6.9,
T309,19,24:0GluCer,2.35E+03,4.40E+03,0.535,11.62,10.7,
T311,20,24:0GluCer,3.09E+03,4.39E+03,0.703,11.59,14.1,
T312,21,24:0GluCer,1.81E+03,4.28E+03,0.424,11.78,8.4,
T400,22,24:0GluCer,2.07E+03,4.93E+03,0.419,11.6,8.3,
T401,23,24:0GluCer,2.44E+03,4.60E+03,0.53,11.62,10.6,
T402,24,24:0GluCer,2.89E+03,4.31E+03,0.671,11.82,13.4,
T404,25,24:0GluCer,2.47E+03,4.96E+03,0.498,11.77,9.9,
T405,26,24:0GluCer,2.50E+03,4.87E+03,0.512,11.76,10.2,
T406,27,24:0GluCer,1.56E+03,5.47E+03,0.285,11.59,5.6,
T407,28,24:0GluCer,2.04E+03,4.79E+03,0.426,11.74,8.5,
T408,29,24:0GluCer,3.35E+03,6.63E+03,0.504,11.58,10.0,
T500,30,24:0GluCer,2.18E+03,4.62E+03,0.473,11.59,9.4,
T501,31,24:0GluCer,2.01E+03,5.16E+03,0.39,11.69,7.7,
T502,32,24:0GluCer,1.50E+03,4.37E+03,0.343,11.75,6.8,
T503,33,24:0GluCer,1.45E+03,5.19E+03,0.279,11.92,5.5,
T504,34,24:0GluCer,1.50E+03,4.74E+03,0.317,11.57,6.2,
T505,35,24:0GluCer,1.96E+03,4.14E+03,0.474,11.79,9.4,
T506,36,24:0GluCer,7.94E+02,3.52E+03,0.226,11.61,4.4,
T101,1,24:1GluCer,1.56E+03,8.68E+03,0.18,11.76,3.4,
T103,2,24:1GluCer,8.49E+02,5.93E+03,0.143,11.71,2.7,
T104,3,24:1GluCer,1.53E+03,5.53E+03,0.277,11.91,5.4,
T105,4,24:1GluCer,1.47E+03,8.79E+03,0.168,11.86,3.2,
T106,5,24:1GluCer,4.11E+03,7.34E+03,0.56,11.65,11.2,
T107,6,24:1GluCer,1.21E+03,3.26E+03,0.37,11.81,7.3,
T108,7,24:1GluCer,2.33E+03,9.61E+03,0.242,11.65,4.7,
T109,8,24:1GluCer,1.13E+03,5.42E+03,0.209,11.84,4.0,
T201,9,24:1GluCer,8.79E+02,5.24E+03,0.168,11.79,3.2,
T202,10,24:1GluCer,8.51E+02,5.84E+03,0.146,12.03,2.8,
T203,11,24:1GluCer,1.11E+03,4.54E+03,0.244,11.95,4.7,
T204,12,24:1GluCer,1.16E+03,3.46E+03,0.336,11.8,6.6,
T205,13,24:1GluCer,9.92E+02,5.16E+03,0.192,11.85,3.7,
T304,14,24:1GluCer,1.08E+03,4.45E+03,0.242,11.66,4.7,
T305,15,24:1GluCer,5.10E+02,5.56E+03,0.092,11.89,1.7,
T306,16,24:1GluCer,9.64E+02,4.52E+03,0.213,12.03,4.1,
