UO ID,Sample,Component Name,Area,IS Area,Area Ratio,Retention Time,pmol,LOQ<0.5pmol
T101,1,16:0dhCer,2.38E+02,5.89E+03,0.04,8,2,
T103,2,16:0dhCer,1.57E+03,1.29E+04,0.122,7.97,6.8,
T104,3,16:0dhCer,1.15E+02,1.10E+04,0.01,8.17,0.3,
T105,4,16:0dhCer,1.22E+03,1.04E+04,0.117,8.13,6.5,
T106,5,16:0dhCer,5.65E+02,1.14E+04,0.05,7.91,2.6,
T107,6,16:0dhCer,9.33E+02,6.94E+03,0.134,8.12,7.5,
T108,7,16:0dhCer,1.40E+03,7.81E+03,0.179,7.94,10.1,
T109,8,16:0dhCer,1.75E+02,3.39E+03,0.052,8.02,2.7,
T201,9,16:0dhCer,7.00E+02,1.22E+04,0.057,7.99,3,
T202,10,16:0dhCer,5.71E+02,1.28E+04,0.044,8.15,2.2,
T203,11,16:0dhCer,8.16E+02,1.08E+04,0.075,8.13,4,
T204,12,16:0dhCer,1.34E+03,1.45E+04,0.093,7.97,5.1,
T205,13,16:0dhCer,8.75E+02,1.27E+04,0.069,8.14,3.7,
T304,14,16:0dhCer,1.75E+03,1.44E+04,0.121,7.95,6.7,
T305,15,16:0dhCer,1.05E+03,1.48E+04,0.071,8.11,3.8,
T306,16,16:0dhCer,1.11E+03,1.21E+04,0.092,8.15,5,
T307,17,16:0dhCer,7.00E+02,1.29E+04,0.054,8.14,2.8,
T308,18,16:0dhCer,8.88E+02,1.33E+04,0.067,7.97,3.5,
T309,19,16:0dhCer,1.22E+03,1.04E+04,0.117,7.95,6.5,
T311,20,16:0dhCer,1.22E+03,1.02E+04,0.12,7.94,6.6,
T312,21,16:0dhCer,8.16E+02,1.22E+04,0.067,8.13,3.6,
T400,22,16:0dhCer,9.88E+02,1.21E+04,0.082,7.93,4.4,
T401,23,16:0dhCer,8.75E+02,1.34E+04,0.065,7.96,3.5,
T402,24,16:0dhCer,3.50E+02,8.75E+03,0.04,8.12,2,
T404,25,16:0dhCer,6.43E+02,1.47E+04,0.044,7.97,2.2,
T405,26,16:0dhCer,8.04E+02,1.01E+04,0.079,8.14,4.3,
T406,27,16:0dhCer,1.28E+03,1.34E+04,0.096,7.94,5.2,
T407,28,16:0dhCer,8.16E+02,1.77E+04,0.046,7.99,2.3,
T408,29,16:0dhCer,1.75E+03,1.15E+04,0.152,7.93,8.5,
T500,30,16:0dhCer,1.52E+03,1.13E+04,0.135,7.93,7.5,
T501,31,16:0dhCer,1.05E+03,1.10E+04,0.096,7.97,5.2,
T502,32,16:0dhCer,1.63E+03,1.27E+04,0.129,8.1,7.2,
T503,33,16:0dhCer,5.25E+02,1.64E+04,0.032,8.12,1.5,
T504,34,16:0dhCer,1.57E+03,1.34E+04,0.118,7.94,6.5,
T505,35,16:0dhCer,1.17E+03,1.45E+04,0.08,7.95,4.3,
T506,36,16:0dhCer,1.22E+03,1.53E+04,0.08,7.94,4.3,
T101,1,18:0dhCer,1.34E+03,5.89E+03,0.228,7.92,12.1,
T103,2,18:0dhCer,2.92E+03,1.29E+04,0.226,7.91,12.1,
T104,3,18:0dhCer,6.41E+02,1.10E+04,0.058,8.1,2.6,
T105,4,18:0dhCer,1.22E+03,1.04E+04,0.118,8.07,6,
T106,5,18:0dhCer,2.16E+03,1.14E+04,0.19,7.87,10,
T107,6,18:0dhCer,1.75E+03,6.94E+03,0.252,8.06,13.5,
T108,7,18:0dhCer,1.34E+03,7.81E+03,0.171,7.89,8.9,
T109,8,18:0dhCer,1.75E+02,3.39E+03,0.052,7.96,2.2,
T201,9,18:0dhCer,5.83E+02,1.22E+04,0.048,7.92,2,
T202,10,18:0dhCer,2.97E+03,1.28E+04,0.232,8.1,12.4,
T203,11,18:0dhCer,2.22E+03,1.08E+04,0.204,8.08,10.8,
T204,12,18:0dhCer,2.39E+03,1.45E+04,0.165,7.92,8.6,
T205,13,18:0dhCer,1.11E+03,1.27E+04,0.087,8.08,4.2,
T304,14,18:0dhCer,2.18E+03,1.44E+04,0.152,7.89,7.9,
T305,15,18:0dhCer,1.34E+03,1.48E+04,0.091,8.06,4.4,
T306,16,18:0dhCer,1.34E+03,1.21E+04,0.111,8.11,5.6,
T307,17,18:0dhCer,7.52E+02,1.29E+04,0.058,8.07,2.6,
T308,18,18:0dhCer,2.04E+03,1.33E+04,0.154,7.9,8,
T309,19,18:0dhCer,2.27E+03,1.04E+04,0.218,7.88,11.6,
T311,20,18:0dhCer,1.63E+03,1.02E+04,0.16,7.89,8.3,
T312,21,18:0dhCer,1.81E+03,1.22E+04,0.148,8.08,7.7,
T400,22,18:0dhCer,1.34E+03,1.21E+04,0.111,7.88,5.6,
T401,23,18:0dhCer,1.57E+03,1.34E+04,0.117,7.9,5.9,
T402,24,18:0dhCer,4.25E+02,8.75E+03,0.049,8.08,2,
T404,25,18:0dhCer,1.40E+03,1.47E+04,0.095,7.92,4.7,
T405,26,18:0dhCer,1.92E+03,1.01E+04,0.19,8.05,10,
T406,27,18:0dhCer,1.57E+03,1.34E+04,0.118,7.89,6,
T407,28,18:0dhCer,8.59E+02,1.77E+04,0.048,7.93,2,
T408,29,18:0dhCer,1.40E+03,1.15E+04,0.121,7.88,6.1,
T500,30,18:0dhCer,1.34E+03,1.13E+04,0.119,7.88,6,
T501,31,18:0dhCer,2.84E+03,1.10E+04,0.26,7.91,13.9,
T502,32,18:0dhCer,2.45E+03,1.27E+04,0.194,8.06,10.2,
T503,33,18:0dhCer,1.57E+03,1.64E+04,0.096,8.07,4.7,
T504,34,18:0dhCer,2.86E+03,1.34E+04,0.214,7.89,11.4,
T505,35,18:0dhCer,2.38E+03,1.45E+04,0.164,7.9,8.6,
T506,36,18:0dhCer,1.52E+03,1.53E+04,0.1,7.89,4.9,
T101,1,22:0dhCer,1.18E+02,5.89E+03,0.02,7.77,0.4,
T103,2,22:0dhCer,9.88E+02,1.29E+04,0.077,7.81,4.0,
T104,3,22:0dhCer,3.52E+02,1.10E+04,0.032,8.25,1.2,
T105,4,22:0dhCer,5.23E+02,1.04E+04,0.05,7.97,2.3,
T106,5,22:0dhCer,9.33E+02,1.14E+04,0.082,7.78,4.3,
T107,6,22:0dhCer,3.14E+02,6.94E+03,0.045,7.93,2.0,
T108,7,22:0dhCer,3.50E+02,7.81E+03,0.045,7.78,2.0,
T109,8,22:0dhCer,5.83E+01,3.39E+03,0.017,7.78,0.3,
T201,9,22:0dhCer,8.16E+02,1.22E+04,0.067,7.81,3.4,
T202,10,22:0dhCer,3.26E+03,1.28E+04,0.254,8,15.0,
T203,11,22:0dhCer,2.10E+03,1.08E+04,0.194,7.98,11.3,
T204,12,22:0dhCer,2.62E+03,1.45E+04,0.181,7.81,10.5,
T205,13,22:0dhCer,1.17E+03,1.27E+04,0.092,7.97,4.9,
T304,14,22:0dhCer,1.28E+03,1.44E+04,0.089,7.78,4.7,
T305,15,22:0dhCer,4.08E+02,1.48E+04,0.028,7.96,0.9,
T306,16,22:0dhCer,1.05E+03,1.21E+04,0.087,7.98,4.6,
T307,17,22:0dhCer,1.17E+03,1.29E+04,0.09,7.96,4.8,
T308,18,22:0dhCer,7.58E+02,1.33E+04,0.057,7.79,2.7,
T309,19,22:0dhCer,1.28E+03,1.04E+04,0.123,7.78,6.9,
T311,20,22:0dhCer,7.03E+02,1.02E+04,0.069,7.78,3.5,
T312,21,22:0dhCer,1.46E+03,1.22E+04,0.12,7.97,6.7,
T400,22,22:0dhCer,1.17E+03,1.21E+04,0.097,7.77,5.2,
T401,23,22:0dhCer,1.63E+03,1.34E+04,0.122,7.78,6.8,
T402,24,22:0dhCer,1.05E+03,8.75E+03,0.12,7.95,6.7,
T404,25,22:0dhCer,2.16E+03,1.47E+04,0.147,7.8,8.3,
T405,26,22:0dhCer,2.04E+03,1.01E+04,0.201,7.95,11.7,
T406,27,22:0dhCer,2.51E+03,1.34E+04,0.188,7.79,10.9,
T407,28,22:0dhCer,1.52E+03,1.77E+04,0.085,7.83,4.5,
T408,29,22:0dhCer,1.28E+03,1.15E+04,0.111,7.78,6.1,
T500,30,22:0dhCer,9.91E+02,1.13E+04,0.088,7.78,4.7,
T501,31,22:0dhCer,6.43E+02,1.10E+04,0.059,7.8,2.9,
T502,32,22:0dhCer,4.73E+02,1.27E+04,0.037,7.94,1.5,
T503,33,22:0dhCer,7.00E+02,1.64E+04,0.043,7.95,1.9,
T504,34,22:0dhCer,1.16E+03,1.34E+04,0.087,7.77,4.6,
T505,35,22:0dhCer,9.28E+02,1.45E+04,0.064,7.79,3.2,
T506,36,22:0dhCer,6.96E+02,1.53E+04,0.045,7.79,2.0,
T101,1,24:0dhCer,7.58E+02,5.89E+03,0.129,7.78,7.2,
T103,2,24:0dhCer,1.63E+03,1.29E+04,0.127,7.77,7.1,
T104,3,24:0dhCer,4.08E+02,1.10E+04,0.037,7.95,1.5,
T105,4,24:0dhCer,3.57E+02,1.04E+04,0.034,7.94,1.3,
T106,5,24:0dhCer,1.28E+03,1.14E+04,0.113,7.72,6.2,
T107,6,24:0dhCer,4.08E+02,6.94E+03,0.059,8.11,2.9,
T108,7,24:0dhCer,8.74E+02,7.81E+03,0.112,7.73,6.2,
T109,8,24:0dhCer,1.75E+02,3.39E+03,0.052,7.99,2.4,
T201,9,24:0dhCer,1.63E+03,1.22E+04,0.133,7.79,7.5,
T202,10,24:0dhCer,2.22E+03,1.28E+04,0.173,7.94,9.9,
T203,11,24:0dhCer,1.87E+03,1.08E+04,0.172,7.93,9.9,
T204,12,24:0dhCer,1.34E+03,1.45E+04,0.093,7.77,5,
T205,13,24:0dhCer,8.16E+02,1.27E+04,0.064,7.93,3.2,
T304,14,24:0dhCer,2.21E+03,1.44E+04,0.154,7.74,8.8,
T305,15,24:0dhCer,7.00E+02,1.48E+04,0.047,7.91,2.1,
T306,16,24:0dhCer,1.29E+03,1.21E+04,0.107,7.94,5.8,
T307,17,24:0dhCer,9.91E+02,1.29E+04,0.077,8.12,4,
T308,18,24:0dhCer,1.63E+03,1.33E+04,0.123,7.75,6.8,
T309,19,24:0dhCer,1.63E+03,1.04E+04,0.156,7.73,8.9,
T311,20,24:0dhCer,2.21E+03,1.02E+04,0.217,7.74,12.7,
T312,21,24:0dhCer,1.17E+03,1.22E+04,0.096,7.92,5.2,
T400,22,24:0dhCer,1.63E+03,1.21E+04,0.135,7.72,7.6,
T401,23,24:0dhCer,1.40E+03,1.34E+04,0.104,7.74,5.7,
T402,24,24:0dhCer,9.91E+02,8.75E+03,0.113,7.93,6.2,
T404,25,24:0dhCer,1.58E+03,1.47E+04,0.107,7.75,5.9,
T405,26,24:0dhCer,3.21E+03,1.01E+04,0.316,7.9,18.9,
T406,27,24:0dhCer,1.98E+03,1.34E+04,0.148,7.74,8.4,
T407,28,24:0dhCer,2.10E+03,1.77E+04,0.118,7.78,6.6,
T408,29,24:0dhCer,1.52E+03,1.15E+04,0.131,7.73,7.4,
T500,30,24:0dhCer,1.63E+03,1.13E+04,0.145,7.74,8.2,
T501,31,24:0dhCer,1.98E+03,1.10E+04,0.181,7.76,10.5,
T502,32,24:0dhCer,1.28E+03,1.27E+04,0.101,7.9,5.5,
T503,33,24:0dhCer,1.23E+03,1.64E+04,0.075,7.93,3.9,
T504,34,24:0dhCer,1.52E+03,1.34E+04,0.114,7.73,6.3,
T505,35,24:0dhCer,1.28E+03,1.45E+04,0.088,7.77,4.7,
T506,36,24:0dhCer,1.45E+03,1.53E+04,0.095,7.73,5.1,
T101,1,24:1dhCer,4.66E+02,5.89E+03,0.079,7.81,3.5,
T103,2,24:1dhCer,1.52E+03,1.29E+04,0.118,7.8,5.2,
T104,3,24:1dhCer,2.92E+02,1.10E+04,0.026,7.98,1.1,
T105,4,24:1dhCer,1.11E+03,1.04E+04,0.107,7.95,4.7,
T106,5,24:1dhCer,6.99E+02,1.14E+04,0.062,7.76,2.7,
T107,6,24:1dhCer,7.00E+02,6.94E+03,0.101,7.94,4.5,
T108,7,24:1dhCer,3.49E+02,7.81E+03,0.045,7.77,1.9,
T109,8,24:1dhCer,1.17E+02,3.39E+03,0.034,7.8,1.4,
T201,9,24:1dhCer,3.50E+02,1.22E+04,0.029,7.81,1.2,
T202,10,24:1dhCer,4.66E+02,1.28E+04,0.036,7.97,1.5,
T203,11,24:1dhCer,8.74E+02,1.08E+04,0.081,7.97,3.5,
T204,12,24:1dhCer,9.90E+02,1.45E+04,0.068,7.8,3,
T205,13,24:1dhCer,5.26E+02,1.27E+04,0.041,7.96,1.8,
T304,14,24:1dhCer,1.17E+03,1.44E+04,0.081,7.78,3.6,
T305,15,24:1dhCer,5.25E+02,1.48E+04,0.035,7.95,1.5,
T306,16,24:1dhCer,1.22E+03,1.21E+04,0.101,7.98,4.5,
T307,17,24:1dhCer,1.05E+03,1.29E+04,0.081,7.95,3.6,
T308,18,24:1dhCer,5.95E+02,1.33E+04,0.045,7.78,1.9,
T309,19,24:1dhCer,7.56E+02,1.04E+04,0.072,7.77,3.2,
T311,20,24:1dhCer,8.18E+02,1.02E+04,0.08,7.78,3.5,
T312,21,24:1dhCer,1.17E+03,1.22E+04,0.096,7.96,4.2,
T400,22,24:1dhCer,2.92E+02,1.21E+04,0.024,7.76,1,
T401,23,24:1dhCer,5.19E+02,1.34E+04,0.039,7.78,1.6,
T402,24,24:1dhCer,3.50E+02,8.75E+03,0.04,7.93,1.7,
T404,25,24:1dhCer,7.58E+02,1.47E+04,0.052,7.78,2.2,
T405,26,24:1dhCer,8.14E+02,1.01E+04,0.08,7.94,3.5,
T406,27,24:1dhCer,9.34E+02,1.34E+04,0.07,7.77,3.1,
T407,28,24:1dhCer,1.05E+03,1.77E+04,0.059,7.81,2.6,
T408,29,24:1dhCer,7.60E+02,1.15E+04,0.066,7.75,2.9,
T500,30,24:1dhCer,7.00E+02,1.13E+04,0.062,7.75,2.7,
T501,31,24:1dhCer,1.05E+03,1.10E+04,0.096,7.78,4.2,
T502,32,24:1dhCer,9.33E+02,1.27E+04,0.074,7.93,3.2,
T503,33,24:1dhCer,5.34E+02,1.64E+04,0.032,7.95,1.3,
T504,34,24:1dhCer,9.33E+02,1.34E+04,0.07,7.75,3.1,
T505,35,24:1dhCer,1.40E+03,1.45E+04,0.096,7.78,4.2,
T506,36,24:1dhCer,1.57E+03,1.53E+04,0.103,7.77,4.6,
