,,Identification of these components should be considered tentative until confirmed with standards,,,,,,,,,
UO ID,Sample Index,Component Name,Area,IS Area,Area Ratio,Retention Time,pmol,LOQ <0.5pmol,,,
T101,1,16:0hexosylCer,1.99E+02,8.68E+03,0.023,12.37,0.3,,,,
T103,2,16:0hexosylCer,1.42E+02,5.93E+03,0.024,12.35,0.3,,,,
T104,3,16:0hexosylCer,6.24E+02,5.53E+03,0.113,12.54,2.1,,,,
T105,4,16:0hexosylCer,8.51E+01,8.79E+03,0.01,12.49,0.0,,,,
T106,5,16:0hexosylCer,1.70E+02,7.34E+03,0.023,12.27,0.3,,,,
T107,6,16:0hexosylCer,1.79E+03,3.26E+03,0.548,12.44,11.1,,,,
T108,7,16:0hexosylCer,5.68E+01,9.61E+03,0.006,12.32,-0.1,,,,
T109,8,16:0hexosylCer,2.75E+01,5.42E+03,0.005,12.39,-0.1,,,,
T201,9,16:0hexosylCer,4.23E+02,5.24E+03,0.081,12.43,1.5,,,,
T202,10,16:0hexosylCer,1.22E+03,5.84E+03,0.209,12.27,4.1,,,,
T203,11,16:0hexosylCer,1.13E+02,4.54E+03,0.025,12.6,0.3,,,,
T204,12,16:0hexosylCer,2.84E+02,3.46E+03,0.082,12.42,1.5,,,,
T205,13,16:0hexosylCer,8.51E+01,5.16E+03,0.016,12.48,0.1,,,,
T304,14,16:0hexosylCer,1.98E+02,4.45E+03,0.045,12.3,0.7,,,,
T305,15,16:0hexosylCer,2.83E+01,5.56E+03,0.005,12.25,-0.1,,,,
T306,16,16:0hexosylCer,3.13E+02,4.52E+03,0.069,12.65,1.2,,,,
T307,17,16:0hexosylCer,1.13E+03,6.26E+03,0.181,12.09,3.5,,,,
T308,18,16:0hexosylCer,3.40E+02,3.46E+03,0.098,12.3,1.8,,,,
T309,19,16:0hexosylCer,3.40E+02,4.40E+03,0.077,12.45,1.4,,,,
T311,20,16:0hexosylCer,5.67E+01,4.39E+03,0.013,12.31,0.0,,,,
T312,21,16:0hexosylCer,8.51E+01,4.28E+03,0.02,12.5,0.2,,,,
T400,22,16:0hexosylCer,7.37E+02,4.93E+03,0.15,12.32,2.9,,,,
T401,23,16:0hexosylCer,8.51E+01,4.60E+03,0.019,12.34,0.2,,,,
T402,24,16:0hexosylCer,1.42E+02,4.31E+03,0.033,12.57,0.5,,,,
T404,25,16:0hexosylCer,7.65E+02,4.96E+03,0.154,12.46,3.0,,,,
T405,26,16:0hexosylCer,2.84E+01,4.87E+03,0.006,12.45,-0.1,,,,
T406,27,16:0hexosylCer,1.14E+02,5.47E+03,0.021,12.33,0.2,,,,
T407,28,16:0hexosylCer,1.99E+02,4.79E+03,0.041,12.43,0.6,,,,
T408,29,16:0hexosylCer,5.67E+01,6.63E+03,0.009,12.29,0.0,,,,
T500,30,16:0hexosylCer,4.54E+02,4.62E+03,0.098,12.33,1.8,,,,
T501,31,16:0hexosylCer,1.13E+02,5.16E+03,0.022,12.38,0.2,,,,
T502,32,16:0hexosylCer,1.42E+02,4.37E+03,0.033,12.47,0.5,,,,
T503,33,16:0hexosylCer,9.63E+02,5.19E+03,0.186,12.25,3.6,,,,
T504,34,16:0hexosylCer,1.99E+02,4.74E+03,0.042,12.29,0.6,,,,
T505,35,16:0hexosylCer,2.87E+01,4.14E+03,0.007,12.22,-0.1,,,,
T506,36,16:0hexosylCer,1.70E+02,3.52E+03,0.048,12.32,0.8,,,,
T101,1,18:0hexosylCer,1.08E+03,8.68E+03,0.124,12.28,3.0,,,,
T103,2,18:0hexosylCer,9.33E+02,5.93E+03,0.157,12.25,3.9,,,,
T104,3,18:0hexosylCer,2.55E+03,5.53E+03,0.462,12.45,12.1,,,,
T105,4,18:0hexosylCer,4.25E+02,8.79E+03,0.048,12.39,1.0,,,,
T106,5,18:0hexosylCer,1.59E+03,7.34E+03,0.216,12.17,5.5,,,,
T107,6,18:0hexosylCer,7.05E+03,3.26E+03,2.165,12.34,57.8,,,,
T108,7,18:0hexosylCer,8.18E+02,9.61E+03,0.085,12.19,2.0,,,,
T109,8,18:0hexosylCer,5.95E+02,5.42E+03,0.11,12.34,2.6,,,,
T201,9,18:0hexosylCer,2.19E+03,5.24E+03,0.417,12.33,10.9,,,,
T202,10,18:0hexosylCer,2.55E+02,5.84E+03,0.044,12.54,0.9,,,,
T203,11,18:0hexosylCer,8.26E+02,4.54E+03,0.182,12.49,4.6,,,,
T204,12,18:0hexosylCer,3.06E+03,3.46E+03,0.886,12.33,23.4,,,,
T205,13,18:0hexosylCer,2.55E+02,5.16E+03,0.049,12.38,1.0,,,,
T304,14,18:0hexosylCer,1.23E+03,4.45E+03,0.277,12.2,7.1,,,,
T305,15,18:0hexosylCer,1.98E+02,5.56E+03,0.036,12.43,0.6,,,,
T306,16,18:0hexosylCer,1.13E+03,4.52E+03,0.251,12.57,6.4,,,,
T307,17,18:0hexosylCer,3.12E+02,6.26E+03,0.05,12.38,1.0,,,,
T308,18,18:0hexosylCer,2.52E+03,3.46E+03,0.729,12.2,19.2,,,,
T309,19,18:0hexosylCer,1.50E+03,4.40E+03,0.342,12.34,8.9,,,,
T311,20,18:0hexosylCer,3.97E+02,4.39E+03,0.09,12.2,2.1,,,,
T312,21,18:0hexosylCer,1.98E+02,4.28E+03,0.046,12.4,0.9,,,,
T400,22,18:0hexosylCer,6.21E+03,4.93E+03,1.26,12.22,33.5,,,,
T401,23,18:0hexosylCer,4.25E+02,4.60E+03,0.093,12.23,2.2,,,,
T402,24,18:0hexosylCer,1.08E+03,4.31E+03,0.25,12.46,6.4,,,,
T404,25,18:0hexosylCer,3.03E+03,4.96E+03,0.612,12.37,16.1,,,,
T405,26,18:0hexosylCer,5.39E+02,4.87E+03,0.111,12.37,2.7,,,,
T406,27,18:0hexosylCer,6.80E+02,5.47E+03,0.124,12.23,3.0,,,,
T407,28,18:0hexosylCer,1.39E+03,4.79E+03,0.29,12.34,7.5,,,,
T408,29,18:0hexosylCer,4.81E+02,6.63E+03,0.073,12.18,1.6,,,,
T500,30,18:0hexosylCer,1.26E+03,4.62E+03,0.273,12.21,7.0,,,,
T501,31,18:0hexosylCer,3.12E+02,5.16E+03,0.06,12.3,1.3,,,,
T502,32,18:0hexosylCer,7.90E+02,4.37E+03,0.181,12.36,4.5,,,,
T503,33,18:0hexosylCer,1.11E+03,5.19E+03,0.213,12.51,5.4,,,,
T504,34,18:0hexosylCer,4.54E+02,4.74E+03,0.096,12.2,2.3,,,,
T505,35,18:0hexosylCer,1.13E+03,4.14E+03,0.274,12.42,7.0,,,,
T506,36,18:0hexosylCer,1.42E+03,3.52E+03,0.403,12.2,10.5,,,,
T101,1,20:0hexoylCer,5.67E+02,8.68E+03,0.065,12.2,1.4,,,,
T103,2,20:0hexoylCer,1.02E+03,5.93E+03,0.172,12.15,4.3,,,,
T104,3,20:0hexoylCer,2.41E+03,5.53E+03,0.436,12.36,11.4,,,,
T105,4,20:0hexoylCer,1.98E+02,8.79E+03,0.023,12.29,0.3,,,,
T106,5,20:0hexoylCer,9.64E+02,7.34E+03,0.131,12.08,3.2,,,,
T107,6,20:0hexoylCer,5.90E+03,3.26E+03,1.809,12.25,48.2,,,,
T108,7,20:0hexoylCer,2.84E+01,9.61E+03,0.003,12.28,-0.2,,,,
T109,8,20:0hexoylCer,3.40E+02,5.42E+03,0.063,12.26,1.4,,,,
T201,9,20:0hexoylCer,2.10E+03,5.24E+03,0.4,12.24,10.4,,,,
T202,10,20:0hexoylCer,4.54E+02,5.84E+03,0.078,12.45,1.8,,,,
T203,11,20:0hexoylCer,6.52E+02,4.54E+03,0.144,12.4,3.5,,,,
T204,12,20:0hexoylCer,2.07E+03,3.46E+03,0.599,12.26,15.7,,,,
T205,13,20:0hexoylCer,3.12E+02,5.16E+03,0.06,12.29,1.3,,,,
T304,14,20:0hexoylCer,1.56E+03,4.45E+03,0.35,12.12,9.1,,,,
T305,15,20:0hexoylCer,8.51E+01,5.56E+03,0.015,12.35,0.1,,,,
T306,16,20:0hexoylCer,1.25E+03,4.52E+03,0.276,12.48,7.1,,,,
T307,17,20:0hexoylCer,1.70E+02,6.26E+03,0.027,12.28,0.4,,,,
T308,18,20:0hexoylCer,1.90E+03,3.46E+03,0.549,12.1,14.4,,,,
T309,19,20:0hexoylCer,2.10E+03,4.40E+03,0.477,12.23,12.5,,,,
T311,20,20:0hexoylCer,2.55E+02,4.39E+03,0.058,12.11,1.2,,,,
T312,21,20:0hexoylCer,1.70E+02,4.28E+03,0.04,12.3,0.7,,,,
T400,22,20:0hexoylCer,4.31E+03,4.93E+03,0.874,12.12,23.1,,,,
T401,23,20:0hexoylCer,3.97E+02,4.60E+03,0.086,12.16,2.0,,,,
T402,24,20:0hexoylCer,6.52E+02,4.31E+03,0.151,12.38,3.7,,,,
T404,25,20:0hexoylCer,2.50E+03,4.96E+03,0.503,12.28,13.2,,,,
