UO ID,18.2_18.2,16.0_18.2,18.0_18.2,18.0_20.4,18.2_18.1,16.0_16.0,18.0_18.0,18.1_18.1
T101,30.5,173.1,147.8,203.1,195.7,98,386.6,64.2
T103,8.5,23.8,9.2,44.6,8.5,8.5,19.3,8.5
T104,117.9,95.5,101.5,80,45.5,20.9,103.7,38
T105,46.4,74.7,47.1,69.5,91.9,10.8,25.2,40
T106,8.5,70.2,22.7,69,41.2,32.7,24.1,14.9
T107,19.5,99.2,35,36.8,63.8,10.4,51.7,19.5
T108,25.2,68.1,8.5,30.2,49.2,8.5,30,26.1
T109,8.5,19.5,9,90,65.2,65.8,42.8,19.5
T201,8.5,13.1,13.3,21.8,13.6,8.5,19,8.5
T202,8.5,8.5,33.9,44.2,49.9,17.9,24.1,8.5
T203,8.5,9.4,8.5,29.5,8.5,16.3,60.1,15.6
T204,8.5,43.2,19,64.5,11,10.8,47.8,20.4
T205,8.5,54.4,54,14,29.3,13.1,38,21.5
T304,46,75,35.5,164.5,62,9,17.4,37.5
T305,23.1,50.1,8.5,101,23.1,12.6,33.9,8.5
T306,34.8,142.1,93,86.8,142.6,25,30.2,19
T307,8.5,33,16.1,51.5,33.4,25.2,24.1,8.5
T308,8.5,31.4,8.5,54.2,8.5,8.5,17,20.9
T309,27.7,35,27.7,70.4,29.3,21.8,38.2,12.2
T311,30.2,76.3,19.5,253.5,30.9,16.8,16.8,23.4
T312,13.3,24.5,18.8,37.3,26.1,8.5,16.1,8.5
T400,25.2,49.9,22.5,59.2,37.3,49.4,14.2,41.6
T401,9.2,59.9,33,56.7,42.8,51.2,39.1,64
T402,41.2,39.1,13.6,103.1,13.8,19,24.5,35.7
T404,8.5,24.1,10.6,23.6,17.2,8.5,17.4,25.2
T405,8.5,61,67.2,22.9,15.8,22,31.4,46.2
T406,15.2,35,13.6,87.8,14.5,21.3,21.3,113.3
T407,8.5,8.5,8.5,41.4,13.6,8.5,8.5,13.3
T408,8.5,29.1,8.5,17,38,8.5,9.7,45.3
T500,14.7,40,11.5,28.9,51,8.5,11.5,29.3
T501,8.5,20.9,8.5,64.9,21.3,11.5,41.2,11.7
T502,37.3,42.6,8.5,34.3,47.1,8.5,22,12
T503,8.5,39.6,20.6,57.2,23.1,14,25.9,8.5
T504,8.5,33.9,16.3,19.5,19.3,8.5,13.6,8.5
T505,23.8,46.7,39.6,87.1,12.9,19.5,12.6,8.5
T506,16.1,32.1,9.4,59,8.5,8.5,15.8,8.5
