UO ID,16.0,18.0,20.0,22.0,23.0,24.0,24.1
T101,6.4,13.4,1.5,7.8,4,11.4,3.4
T103,7.4,10.3,1.3,6.1,3.7,7.7,2.7
T104,5.9,7.9,1.5,8.5,3.3,9.7,5.4
T105,3.3,7.5,0.5,4.4,2.5,6.3,3.2
T106,13.1,55.2,4.6,14.3,8.7,21.1,11.2
T107,5.7,18.6,1.6,9.3,6.5,15.9,7.3
T108,7.5,11.5,3.2,8.7,3.5,13.3,4.7
T109,4.2,10.6,1.8,5.2,2,8.9,4
T201,3.5,6.7,1.7,9.6,17.8,9.2,3.2
T202,4.1,7.5,1.6,10,0.6,8.3,2.8
T203,6.5,7.4,2.2,9.8,1.3,6.9,4.7
T204,9.8,12.9,2.1,21.7,2.3,17.7,6.6
T205,4.9,10.4,3.1,10.8,1.2,9.5,3.7
T304,6.8,7.7,1.6,5.2,3.3,7.6,4.7
T305,3.6,5.6,0.6,4.6,1.7,3.9,1.7
T306,7.3,9.9,2.5,10.2,2.7,9.5,4.1
T307,3.5,6.2,1.1,3.6,1.6,4.4,1.2
T308,4.5,14.2,1.2,3.6,3.4,6.9,3.1
T309,6.4,8.7,0.7,10.1,3.4,10.7,3.9
T311,4.5,12.7,2.1,9.4,5,14.1,7.3
T312,5.7,8.7,1.6,7.3,1,8.4,3.2
T400,4.2,12.3,1.5,11.1,2.1,8.3,3.6
T401,4.9,11.6,1.5,15.1,1.4,10.6,2.5
T402,6.8,14.1,2.3,16,0.8,13.4,4.1
T404,5.4,8.7,2.3,13.9,3,9.9,4.9
T405,6.7,7,2,11.2,2.7,10.2,3.8
T406,4.4,6.6,0.8,6.7,1,5.6,4.1
T407,3.7,6,0.9,7.1,1.3,8.5,2.5
T408,6.7,10.6,1.2,12.2,1.1,10,3.6
T500,4.6,9.2,1.2,7.6,4,9.4,3.8
T501,3.2,9.5,0.5,5.5,2.8,7.7,2.2
T502,4.6,7,1.1,4.1,1.2,6.8,1.5
T503,3.6,8,0.7,4.9,1.5,5.5,3.1
T504,2.6,6.2,2.4,4.6,3.6,6.2,2.1
T505,3.2,11.6,1,5.2,3.8,9.4,3.4
T506,3.9,7,1.2,5.8,2.7,4.4,4.1
