UO ID,Sample Name,TAG species,Area,IS Area,Area Ratio,Retention Time,Relative RT,pmol,,LOQ<55pmol,,,,
T101,1,48:0,1.77E+04,2.40E+05,0.0736,11.07,0.93,677.4,,,,,,
T101,1,48:1,1.53E+04,2.40E+05,0.0637,10.53,0.88,584.5,,,,,,
T101,1,48:2,1.47E+04,2.40E+05,0.0612,9.91,0.83,561.0,,,,,,
T101,1,48:3,1.17E+04,2.40E+05,0.0489,9.27,0.78,445.5,,,,,,
T101,1,50:0,2.07E+04,2.40E+05,0.0863,11.65,0.98,796.7,,,,,,
T101,1,50:1,8.83E+04,2.40E+05,0.3683,11.16,0.94,3445.2,,,,,,
T101,1,50:2,1.08E+05,2.40E+05,0.4496,10.57,0.89,4208.7,,,,,,
T101,1,50:3,3.50E+04,2.40E+05,0.1459,9.98,0.84,1356.5,,,,,,
T101,1,50:4,1.36E+04,2.40E+05,0.0566,9.36,0.78,517.8,,,,,,
T101,1,52:0,6.70E+03,2.40E+05,0.028,12.21,1.02,249.2,,,,,,
T101,1,52:1,6.09E+04,2.40E+05,0.2539,11.76,0.99,2370.8,,,,,,
T101,1,52:2,1.82E+05,2.40E+05,0.7581,11.22,0.94,7106.1,,,,,,
T101,1,52:3,2.57E+05,2.40E+05,1.0739,10.66,0.89,10072.0,,,,,,
T101,1,52:4,1.83E+05,2.40E+05,0.7616,10.03,0.84,7139.0,,,,,,16
T101,1,52:5,4.35E+04,2.40E+05,0.1815,9.4,0.79,1690.8,,,,,,
T101,1,54:1,5.19E+03,2.40E+05,0.0216,12.26,1.03,189.1,,,,,,
T101,1,54:2,3.39E+04,2.40E+05,0.1412,11.8,0.99,1312.3,,,,,,
T101,1,54:3,9.77E+04,2.40E+05,0.4076,11.29,0.95,3814.3,,,,,,
T101,1,54:4,1.75E+05,2.40E+05,0.7318,10.73,0.9,6859.1,,,,,,
T101,1,54:5,1.96E+05,2.40E+05,0.8165,10.12,0.85,7654.6,,,,,,
T101,1,54:6,9.09E+04,2.40E+05,0.3794,9.45,0.79,3549.4,,,,,,
T101,1,56:2,7.33E+02,2.40E+05,0.0031,12.78,1.07,15.3,,,,,,
T101,1,56:3,1.82E+03,2.40E+05,0.0076,12.33,1.03,57.6,,,,,,
T101,1,56:4,4.90E+03,2.40E+05,0.0204,11.85,0.99,177.8,,,,,,
T101,1,56:5,1.14E+04,2.40E+05,0.0474,11.36,0.95,431.4,,,,,,
T101,1,56:6,2.46E+04,2.40E+05,0.1025,10.82,0.91,948.9,,,,,,
T101,1,56:7,4.07E+04,2.40E+05,0.1699,10.34,0.87,1581.9,,,,,,
T103,2,48:0,1.48E+04,2.80E+05,0.0527,11.08,0.93,481.1,,,,,,
T103,2,48:1,1.82E+04,2.80E+05,0.0649,10.52,0.88,595.7,,,,,,
T103,2,48:2,1.27E+04,2.80E+05,0.0454,9.92,0.83,412.6,,,,,,
T103,2,48:3,4.86E+03,2.80E+05,0.0174,9.25,0.77,149.6,,,,,,
T103,2,50:0,1.35E+04,2.80E+05,0.0483,11.68,0.98,439.8,,,,,,
T103,2,50:1,6.70E+04,2.80E+05,0.2393,11.19,0.93,2233.6,,,,,,
T103,2,50:2,8.89E+04,2.80E+05,0.3175,10.61,0.89,2968.1,,,,,,
T103,2,50:3,2.81E+04,2.80E+05,0.1003,10,0.83,928.2,,,,,,
T103,2,50:4,1.29E+04,2.80E+05,0.0462,9.35,0.78,420.1,,,,,,
T103,2,52:0,4.73E+03,2.80E+05,0.0169,12.22,1.02,144.9,,,,,,
T103,2,52:1,3.85E+04,2.80E+05,0.1375,11.78,0.98,1277.6,,,,,,
T103,2,52:2,1.35E+05,2.80E+05,0.482,11.26,0.94,4513.0,,,,,,
T103,2,52:3,1.76E+05,2.80E+05,0.6286,10.69,0.89,5889.9,,,,,,
T103,2,52:4,1.04E+05,2.80E+05,0.37,10.07,0.84,3461.2,,,,,,
T103,2,52:5,2.65E+04,2.80E+05,0.0946,9.4,0.78,874.7,,,,,,
T103,2,54:1,4.44E+03,2.80E+05,0.0159,12.3,1.03,135.5,,,,,,
T103,2,54:2,2.35E+04,2.80E+05,0.0838,11.82,0.99,773.2,,,,,,
T103,2,54:3,6.48E+04,2.80E+05,0.2313,11.32,0.95,2158.5,,,,,,
T103,2,54:4,1.10E+05,2.80E+05,0.3926,10.77,0.9,3673.4,,,,,,
T103,2,54:5,1.11E+05,2.80E+05,0.396,10.15,0.85,3705.3,,,,,,
T103,2,54:6,4.54E+04,2.80E+05,0.162,9.49,0.79,1507.7,,,,,,
T103,2,56:2,0,2.80E+05,0,0,0,-13.8,,,,,,
T103,2,56:3,9.90E+02,2.80E+05,0.0035,12.34,1.03,19.1,,,,,,
T103,2,56:4,2.66E+03,2.80E+05,0.0095,11.85,0.99,75.4,,,,,,
T103,2,56:5,7.60E+03,2.80E+05,0.0271,11.38,0.95,240.7,,,,,,
T103,2,56:6,1.30E+04,2.80E+05,0.0466,10.9,0.91,423.9,,,,,,
T103,2,56:7,2.06E+04,2.80E+05,0.0734,10.34,0.86,675.6,,,,,,
T104,3,48:0,8.73E+03,3.17E+05,0.0276,11.11,0.93,245.4,,,,,,
T104,3,48:1,1.14E+04,3.17E+05,0.0361,10.55,0.88,325.2,,,,,,
T104,3,48:2,1.80E+04,3.17E+05,0.0568,9.92,0.83,519.6,,,,,,
T104,3,48:3,9.35E+03,3.17E+05,0.0295,9.27,0.77,263.3,,,,,,
T104,3,50:0,1.18E+04,3.17E+05,0.0371,11.73,0.98,334.6,,,,,,
T104,3,50:1,5.31E+04,3.17E+05,0.1675,11.21,0.94,1559.3,,,,,,
T104,3,50:2,1.03E+05,3.17E+05,0.3251,10.63,0.89,3039.5,,,,,,
T104,3,50:3,5.07E+04,3.17E+05,0.16,10.03,0.84,1488.9,,,,,,
T104,3,50:4,1.64E+04,3.17E+05,0.0517,9.4,0.78,471.7,,,,,,
T104,3,52:0,5.27E+03,3.17E+05,0.0166,12.26,1.02,142.1,,,,,,
T104,3,52:1,3.85E+04,3.17E+05,0.1216,11.79,0.98,1128.2,,,,,,
T104,3,52:2,1.59E+05,3.17E+05,0.5017,11.28,0.94,4698.1,,,,,,
T104,3,52:3,2.45E+05,3.17E+05,0.7722,10.71,0.89,7238.5,,,,,,
T104,3,52:4,2.05E+05,3.17E+05,0.6473,10.09,0.84,6065.5,,,,,,
T104,3,52:5,5.48E+04,3.17E+05,0.1731,9.43,0.79,1611.9,,,,,,
T104,3,54:1,7.18E+03,3.17E+05,0.0227,12.33,1.03,199.4,,,,,,
T104,3,54:2,3.61E+04,3.17E+05,0.1141,11.86,0.99,1057.8,,,,,,
T104,3,54:3,8.98E+04,3.17E+05,0.2837,11.35,0.95,2650.6,,,,,,
T104,3,54:4,1.63E+05,3.17E+05,0.5144,10.78,0.9,4817.3,,,,,,
T104,3,54:5,1.93E+05,3.17E+05,0.6106,10.17,0.85,5720.8,,,,,,
T104,3,54:6,1.29E+05,3.17E+05,0.4084,9.5,0.79,3821.8,,,,,,
T104,3,56:2,4.59E+02,3.17E+05,0.0014,12.99,1.08,-0.7,,,,,,
T104,3,56:3,1.95E+03,3.17E+05,0.0061,12.38,1.03,43.5,,,,,,
T104,3,56:4,3.28E+03,3.17E+05,0.0104,11.94,1,83.9,,,,,,
