UO ID,Sample Index,Component Name,Area,IS Area,Area Ratio,Retention Time,pmol,LOQ <5.0pmol,,Std Curvesand samples used 12:0GluCer as  IS
T101,1,16:0LacCer,3.40E+02,8.68E+03,0.039,13.38,1.4,,,
T103,2,16:0LacCer,1.70E+02,5.93E+03,0.029,13.39,0.5,,,
T104,3,16:0LacCer,2.56E+02,5.53E+03,0.046,13.67,2.1,,,
T105,4,16:0LacCer,3.69E+02,8.79E+03,0.042,13.59,1.7,,,
T106,5,16:0LacCer,3.12E+02,7.34E+03,0.042,13.49,1.7,,,
T107,6,16:0LacCer,2.27E+02,3.26E+03,0.07,13.68,4.3,,,
T108,7,16:0LacCer,2.81E+02,9.61E+03,0.029,13.62,0.5,,,
T109,8,16:0LacCer,3.40E+02,5.42E+03,0.063,13.57,3.7,,,
T201,9,16:0LacCer,2.27E+02,5.24E+03,0.043,13.46,1.8,,,
T202,10,16:0LacCer,8.51E+01,5.84E+03,0.015,13.67,-0.9,,,
T203,11,16:0LacCer,1.42E+02,4.54E+03,0.031,13.66,0.6,,,
T204,12,16:0LacCer,5.67E+01,3.46E+03,0.016,13.52,-0.8,,,
T205,13,16:0LacCer,1.98E+02,5.16E+03,0.038,13.62,1.3,,,
T304,14,16:0LacCer,2.84E+02,4.45E+03,0.064,13.44,3.8,,,
T305,15,16:0LacCer,N/A,5.56E+03,N/A,N/A,0.0,,,
T306,16,16:0LacCer,3.69E+02,4.52E+03,0.082,13.67,5.5,,,
T307,17,16:0LacCer,3.69E+02,6.26E+03,0.059,13.63,3.3,,,
T308,18,16:0LacCer,1.70E+02,3.46E+03,0.049,13.47,2.3,,,
T309,19,16:0LacCer,3.69E+02,4.40E+03,0.084,13.65,5.7,,,
T311,20,16:0LacCer,1.42E+02,4.39E+03,0.032,13.47,0.7,,,
T312,21,16:0LacCer,1.56E+02,4.28E+03,0.036,13.57,1.1,,,
T400,22,16:0LacCer,1.14E+02,4.93E+03,0.023,13.45,-0.1,,,
T401,23,16:0LacCer,1.99E+02,4.60E+03,0.043,13.43,1.8,,,
T402,24,16:0LacCer,4.26E+02,4.31E+03,0.099,13.65,7.1,,,
T404,25,16:0LacCer,1.99E+02,4.96E+03,0.04,13.5,1.5,,,
T405,26,16:0LacCer,3.69E+02,4.87E+03,0.076,13.59,4.9,,,
T406,27,16:0LacCer,2.27E+02,5.47E+03,0.041,13.51,1.6,,,
T407,28,16:0LacCer,1.98E+02,4.79E+03,0.041,13.43,1.6,,,
T408,29,16:0LacCer,3.40E+02,6.63E+03,0.051,13.44,2.5,,,
T500,30,16:0LacCer,8.51E+01,4.62E+03,0.018,13.53,-0.6,,,
T501,31,16:0LacCer,1.70E+02,5.16E+03,0.033,13.5,0.8,,,
T502,32,16:0LacCer,5.67E+01,4.37E+03,0.013,13.68,-1.1,,,
T503,33,16:0LacCer,1.13E+02,5.19E+03,0.022,13.77,-0.2,,,
T504,34,16:0LacCer,2.84E+02,4.74E+03,0.06,13.5,3.4,,,
T505,35,16:0LacCer,3.12E+02,4.14E+03,0.075,13.62,4.8,,,
T506,36,16:0LacCer,1.13E+02,3.52E+03,0.032,13.43,0.7,,,
T101,1,18:0LacCer,3.81E+03,8.68E+03,0.439,13.36,39.2,,,
T103,2,18:0LacCer,3.91E+03,5.93E+03,0.66,13.38,60.1,,,
T104,3,18:0LacCer,4.03E+03,5.53E+03,0.728,13.5,66.5,,,
T105,4,18:0LacCer,5.84E+03,8.79E+03,0.665,13.57,60.6,,,
