UO ID,Sample Name,Component Name,Area,IS Area,Area Ratio,Retention Time,pmol,,,
T101,1,10:0AC,2.24E+04,5.66E+04,0.3957,15.11,58.9,,,"001 in 15%B polar mob phase ca50mg wet wt,40ul np&pol IS"
T101,1,12:0 AC,1.42E+04,5.66E+04,0.25,14.62,38.1,,,
T101,1,14:0 AC,6.03E+04,5.66E+04,1.0654,14.27,154.3,,,
T101,1,16:0 AC,4.74E+05,5.66E+04,8.3738,13.96,1195.3,,,
T101,1,16:1 AC,8.00E+04,5.66E+04,1.4139,14.08,203.9,,,
T101,1,18:0 AC,2.56E+05,5.66E+04,4.5179,13.72,646.1,,,
T101,1,18:1 AC,5.39E+05,5.66E+04,9.5248,13.82,1359.3,,,
T101,1,18:2 AC,3.27E+05,5.66E+04,5.7719,13.97,824.7,,,
T101,1,18:3 AC,1.66E+04,5.66E+04,0.2939,14.11,44.4,,,
T101,1,4:0AC,5.61E+03,5.66E+04,0.0992,24.16,16.6,,,
T101,1,6:0AC,7.21E+03,5.66E+04,0.1275,17.86,20.6,,,
T101,1,8:0AC,2.02E+04,5.66E+04,0.3562,15.94,53.2,,,
T103,2,10:0AC,1.48E+04,6.16E+04,0.2397,15.29,36.6,,,
T103,2,12:0 AC,1.04E+04,6.16E+04,0.1688,14.78,26.5,,,
T103,2,14:0 AC,2.99E+04,6.16E+04,0.486,14.42,71.7,,,
T103,2,16:0 AC,1.83E+05,6.16E+04,2.9689,14.12,425.4,,,
T103,2,16:1 AC,3.29E+04,6.16E+04,0.5338,14.22,78.5,,,
T103,2,18:0 AC,1.18E+05,6.16E+04,1.9122,13.88,274.9,,,
T103,2,18:1 AC,1.77E+05,6.16E+04,2.8703,13.98,411.4,,,
T103,2,18:2 AC,1.11E+05,6.16E+04,1.7962,14.12,258.4,,,
T103,2,18:3 AC,4.58E+03,6.16E+04,0.0744,14.26,13.1,,,
T103,2,4:0AC,5.57E+03,6.16E+04,0.0904,24.29,15.4,,,
T103,2,6:0AC,4.80E+03,6.16E+04,0.0779,18.05,13.6,,,
T103,2,8:0AC,1.58E+04,6.16E+04,0.2562,16.11,39.0,,,
T104,3,10:0AC,1.29E+04,4.85E+04,0.2668,15.1,40.5,,,
T104,3,12:0 AC,9.98E+03,4.85E+04,0.206,14.61,31.8,,,
T104,3,14:0 AC,4.33E+04,4.85E+04,0.8928,14.24,129.7,,,
T104,3,16:0 AC,4.00E+05,4.85E+04,8.25,13.94,1177.7,,,
T104,3,16:1 AC,5.22E+04,4.85E+04,1.0778,14.07,156.0,,,
T104,3,18:0 AC,1.76E+05,4.85E+04,3.624,13.71,518.7,,,
T104,3,18:1 AC,3.98E+05,4.85E+04,8.2074,13.8,1171.6,,,
T104,3,18:2 AC,4.46E+05,4.85E+04,9.202,13.95,1313.3,,,
T104,3,18:3 AC,3.62E+04,4.85E+04,0.748,14.1,109.0,,,
T104,3,4:0AC,2.44E+03,4.85E+04,0.0503,24.24,9.6,,,
T104,3,6:0AC,2.44E+03,4.85E+04,0.0504,17.87,9.7,,,
T104,3,8:0AC,1.24E+04,4.85E+04,0.2563,15.95,39.0,,,
T105,4,10:0AC,2.03E+04,8.24E+04,0.247,15.11,37.7,,,
T105,4,12:0 AC,8.22E+03,8.24E+04,0.0998,14.63,16.7,,,
T105,4,14:0 AC,3.24E+04,8.24E+04,0.3931,14.27,58.5,,,
T105,4,16:0 AC,1.43E+05,8.24E+04,1.7389,13.96,250.2,,,
T105,4,16:1 AC,4.00E+04,8.24E+04,0.4858,14.06,71.7,,,
T105,4,18:0 AC,8.24E+04,8.24E+04,1.0003,13.73,145.0,,,
T105,4,18:1 AC,1.55E+05,8.24E+04,1.8863,13.82,271.2,,,
T105,4,18:2 AC,8.97E+04,8.24E+04,1.0891,13.97,157.6,,,
T105,4,18:3 AC,5.09E+03,8.24E+04,0.0618,14.11,11.3,,,
T105,4,4:0AC,2.19E+03,8.24E+04,0.0266,24.36,6.3,,,
T105,4,6:0AC,6.12E+03,8.24E+04,0.0743,17.85,13.1,,,
T105,4,8:0AC,1.39E+04,8.24E+04,0.1681,15.94,26.4,,,
T106,5,10:0AC,2.23E+04,5.65E+04,0.3951,15.29,58.8,,,
T106,5,12:0 AC,1.25E+04,5.65E+04,0.2217,14.81,34.1,,,
T106,5,14:0 AC,4.82E+04,5.65E+04,0.8524,14.44,123.9,,,
T106,5,16:0 AC,3.77E+05,5.65E+04,6.674,14.13,953.2,,,
T106,5,16:1 AC,6.64E+04,5.65E+04,1.1753,14.25,169.9,,,
T106,5,18:0 AC,1.75E+05,5.65E+04,3.0882,13.9,442.4,,,
T106,5,18:1 AC,4.19E+05,5.65E+04,7.4156,14,1058.8,,,
T106,5,18:2 AC,2.75E+05,5.65E+04,4.8665,14.14,695.7,,,
T106,5,18:3 AC,2.23E+04,5.65E+04,0.3948,14.29,58.7,,,
T106,5,4:0AC,7.84E+03,5.65E+04,0.1388,24.35,22.3,,,
T106,5,6:0AC,3.56E+03,5.65E+04,0.0631,18.05,11.5,,,
T106,5,8:0AC,1.30E+04,5.65E+04,0.2306,16.13,35.3,,,
T107,6,10:0AC,8.35E+03,6.04E+04,0.1383,15.28,22.2,,,
T107,6,12:0 AC,8.65E+03,6.04E+04,0.1433,14.78,22.9,,,
T107,6,14:0 AC,3.41E+04,6.04E+04,0.565,14.43,83.0,,,
T107,6,16:0 AC,2.69E+05,6.04E+04,4.4518,14.12,636.6,,,
T107,6,16:1 AC,5.49E+04,6.04E+04,0.9091,14.24,132.0,,,
T107,6,18:0 AC,1.60E+05,6.04E+04,2.643,13.89,379.0,,,
T107,6,18:1 AC,3.47E+05,6.04E+04,5.7489,13.98,821.4,,,
T107,6,18:2 AC,1.94E+05,6.04E+04,3.2113,14.13,459.9,,,
T107,6,18:3 AC,9.88E+03,6.04E+04,0.1637,14.26,25.8,,,
T107,6,4:0AC,7.45E+03,6.04E+04,0.1234,24.27,20.1,,,
T107,6,6:0AC,5.60E+03,6.04E+04,0.0928,18.08,15.7,,,
T107,6,8:0AC,6.82E+03,6.04E+04,0.113,16.12,18.6,,,
T108,7,10:0AC,5.40E+03,6.07E+04,0.0889,15.3,15.1,,,
T108,7,12:0 AC,4.78E+03,6.07E+04,0.0788,14.79,13.7,,,
T108,7,14:0 AC,1.45E+04,6.07E+04,0.2383,14.43,36.4,,,
T108,7,16:0 AC,1.14E+05,6.07E+04,1.8781,14.14,270.0,,,
T108,7,16:1 AC,2.01E+04,6.07E+04,0.3311,14.26,49.6,,,
T108,7,18:0 AC,7.99E+04,6.07E+04,1.3168,13.9,190.1,,,
T108,7,18:1 AC,1.18E+05,6.07E+04,1.9445,14,279.5,,,
T108,7,18:2 AC,8.31E+04,6.07E+04,1.3701,14.15,197.7,,,
T108,7,18:3 AC,8.34E+03,6.07E+04,0.1375,14.27,22.1,,,
T108,7,4:0AC,2.55E+03,6.07E+04,0.042,24.39,8.5,,,
T108,7,6:0AC,2.26E+03,6.07E+04,0.0372,18.04,7.8,,,
T108,7,8:0AC,5.60E+03,6.07E+04,0.0922,16.19,15.6,,,
T109,8,10:0AC,8.04E+03,6.51E+04,0.1236,15.32,20.1,,,
T109,8,12:0 AC,4.98E+03,6.51E+04,0.0766,14.81,13.4,,,
T109,8,14:0 AC,1.82E+04,6.51E+04,0.2795,14.45,42.3,,,
T109,8,16:0 AC,1.02E+05,6.51E+04,1.5616,14.13,224.9,,,
T109,8,16:1 AC,2.03E+04,6.51E+04,0.3115,14.25,46.9,,,
T109,8,18:0 AC,9.25E+04,6.51E+04,1.4224,13.9,205.1,,,
T109,8,18:1 AC,9.04E+04,6.51E+04,1.3899,14,200.5,,,
T109,8,18:2 AC,6.09E+04,6.51E+04,0.9359,14.15,135.8,,,
T109,8,18:3 AC,4.99E+03,6.51E+04,0.0767,14.29,13.4,,,
T109,8,4:0AC,6.76E+02,6.51E+04,0.0104,24.16,4.0,,,
T109,8,6:0AC,2.34E+03,6.51E+04,0.036,18.03,7.6,,,
T109,8,8:0AC,3.62E+03,6.51E+04,0.0557,16.1,10.4,,,
T201,9,10:0AC,1.08E+04,5.71E+04,0.1889,15.28,29.4,,,
T201,9,12:0 AC,4.38E+03,5.71E+04,0.0767,14.79,13.4,,,
T201,9,14:0 AC,1.37E+04,5.71E+04,0.239,14.44,36.5,,,
T201,9,16:0 AC,8.31E+04,5.71E+04,1.4551,14.13,209.8,,,
T201,9,16:1 AC,2.45E+04,5.71E+04,0.4297,14.24,63.7,,,
T201,9,18:0 AC,8.02E+04,5.71E+04,1.405,13.9,202.6,,,
T201,9,18:1 AC,1.56E+05,5.71E+04,2.7318,13.99,391.6,,,
T201,9,18:2 AC,4.70E+04,5.71E+04,0.8236,14.13,119.8,,,
T201,9,18:3 AC,1.93E+03,5.71E+04,0.0339,14.25,7.3,,,
T201,9,4:0AC,2.76E+03,5.71E+04,0.0483,24.26,9.4,,,
T201,9,6:0AC,2.04E+03,5.71E+04,0.0357,18.04,7.6,,,
T201,9,8:0AC,5.50E+03,5.71E+04,0.0963,16.09,16.2,,,
T202,10,10:0AC,2.96E+04,5.95E+04,0.4983,15.14,73.5,,,
T202,10,12:0 AC,2.84E+04,5.95E+04,0.4777,14.64,70.5,,,
T202,10,14:0 AC,9.48E+04,5.95E+04,1.594,14.27,229.5,,,
T202,10,16:0 AC,6.38E+05,5.95E+04,10.7233,13.98,1530.0,,,
T202,10,16:1 AC,1.50E+05,5.95E+04,2.5269,14.09,362.4,,,
T202,10,18:0 AC,3.52E+05,5.95E+04,5.9167,13.74,845.3,,,
T202,10,18:1 AC,1.03E+06,5.95E+04,17.3675,13.83,2476.5,,,
T202,10,18:2 AC,2.78E+05,5.95E+04,4.6783,13.98,668.9,,,
T202,10,18:3 AC,8.04E+03,5.95E+04,0.1352,14.13,21.7,,,
T202,10,4:0AC,2.58E+03,5.95E+04,0.0434,24.24,8.7,,,
T202,10,6:0AC,6.52E+03,5.95E+04,0.1096,17.8,18.1,,,
T202,10,8:0AC,1.93E+04,5.95E+04,0.3241,15.96,48.7,,,
T203,11,10:0AC,9.77E+03,6.76E+04,0.1446,15.08,23.1,,,
T203,11,12:0 AC,6.82E+03,6.76E+04,0.1009,14.6,16.9,,,
