UO ID,Sample ,Component Name,Area,IS Area,Area Ratio,Retention Time,pmol,ref std
T101,1,14:0SPM,2.68E+04,7.17E+04,0.3736,13.46,103.3,18:0SPM
T103,2,14:0SPM,3.04E+04,5.98E+04,0.5092,13.62,140.8,18:0SPM
T104,3,14:0SPM,3.01E+04,4.80E+04,0.6266,13.44,173.3,18:0SPM
T105,4,14:0SPM,2.76E+04,8.09E+04,0.3412,13.47,94.3,18:0SPM
T106,5,14:0SPM,3.47E+04,6.49E+04,0.5352,13.65,148.0,18:0SPM
T107,6,14:0SPM,4.51E+04,5.75E+04,0.7833,13.64,216.7,18:0SPM
T108,7,14:0SPM,2.93E+04,5.31E+04,0.5515,13.66,152.5,18:0SPM
T109,8,14:0SPM,2.94E+04,6.09E+04,0.4828,13.66,133.5,18:0SPM
T201,9,14:0SPM,2.44E+04,5.57E+04,0.4382,13.65,121.1,18:0SPM
T202,10,14:0SPM,2.81E+04,6.17E+04,0.4557,13.5,126.0,18:0SPM
T203,11,14:0SPM,3.49E+04,6.29E+04,0.5541,13.42,153.3,18:0SPM
T204,12,14:0SPM,3.99E+04,6.55E+04,0.6092,13.49,168.5,18:0SPM
T205,13,14:0SPM,3.09E+04,6.09E+04,0.5065,13.5,140.1,18:0SPM
T304,14,14:0SPM,3.46E+04,6.49E+04,0.5338,13.49,147.6,18:0SPM
T305,15,14:0SPM,2.66E+04,7.85E+04,0.3388,13.52,93.6,18:0SPM
T306,16,14:0SPM,3.57E+04,6.62E+04,0.5386,13.52,149.0,18:0SPM
T307,17,14:0SPM,3.17E+04,8.42E+04,0.3763,13.51,104.0,18:0SPM
T308,18,14:0SPM,3.62E+04,7.58E+04,0.4775,13.52,132.0,18:0SPM
T309,19,14:0SPM,3.63E+04,6.81E+04,0.5337,13.5,147.6,18:0SPM
T311,20,14:0SPM,3.38E+04,6.08E+04,0.5556,13.51,153.7,18:0SPM
T312,21,14:0SPM,2.91E+04,6.67E+04,0.4363,13.53,120.6,18:0SPM
T400,22,14:0SPM,3.17E+04,5.57E+04,0.5694,13.51,157.5,18:0SPM
T401,23,14:0SPM,2.87E+04,6.60E+04,0.4347,13.49,120.2,18:0SPM
T402,24,14:0SPM,3.52E+04,5.91E+04,0.5962,13.51,164.9,18:0SPM
T404,25,14:0SPM,4.89E+04,7.07E+04,0.6911,13.52,191.2,18:0SPM
T405,26,14:0SPM,4.94E+04,6.66E+04,0.7405,13.5,204.9,18:0SPM
T406,27,14:0SPM,3.23E+04,6.37E+04,0.5072,13.65,140.3,18:0SPM
T407,28,14:0SPM,4.32E+04,7.00E+04,0.6165,13.49,170.5,18:0SPM
T408,29,14:0SPM,3.87E+04,7.15E+04,0.541,13.7,149.6,18:0SPM
T500,30,14:0SPM,3.08E+04,6.63E+04,0.465,13.52,128.6,18:0SPM
T501,31,14:0SPM,2.84E+04,7.02E+04,0.4041,13.67,111.7,18:0SPM
T502,32,14:0SPM,2.74E+04,7.14E+04,0.3841,13.55,106.2,18:0SPM
T503,33,14:0SPM,3.17E+04,7.61E+04,0.4161,13.69,115.0,18:0SPM
T504,34,14:0SPM,3.94E+04,6.84E+04,0.5755,13.58,159.2,18:0SPM
T505,35,14:0SPM,3.50E+04,7.00E+04,0.4995,13.52,138.1,18:0SPM
T506,36,14:0SPM,3.16E+04,7.35E+04,0.4301,13.52,118.9,18:0SPM
T101,1,16:0SPM,8.57E+05,7.17E+04,11.9587,13.33,3312.4,18:0SPM
T103,2,16:0SPM,8.29E+05,5.98E+04,13.8736,13.49,3842.9,18:0SPM
T104,3,16:0SPM,9.99E+05,4.80E+04,20.8247,13.32,5768.4,18:0SPM
T105,4,16:0SPM,9.65E+05,8.09E+04,11.9209,13.34,3302.0,18:0SPM
T106,5,16:0SPM,1.03E+06,6.49E+04,15.8906,13.51,4401.6,18:0SPM
T107,6,16:0SPM,1.01E+06,5.75E+04,17.5771,13.51,4868.8,18:0SPM
T108,7,16:0SPM,8.23E+05,5.31E+04,15.5009,13.52,4293.6,18:0SPM
T109,8,16:0SPM,7.95E+05,6.09E+04,13.0562,13.52,3616.4,18:0SPM
T201,9,16:0SPM,7.12E+05,5.57E+04,12.7668,13.52,3536.3,18:0SPM
T202,10,16:0SPM,8.45E+05,6.17E+04,13.7003,13.36,3794.9,18:0SPM
T203,11,16:0SPM,9.44E+05,6.29E+04,15.0084,13.28,4157.2,18:0SPM
T204,12,16:0SPM,1.08E+06,6.55E+04,16.4555,13.35,4558.1,18:0SPM
T205,13,16:0SPM,9.52E+05,6.09E+04,15.6319,13.35,4329.9,18:0SPM
T304,14,16:0SPM,1.14E+06,6.49E+04,17.5096,13.36,4850.1,18:0SPM
T305,15,16:0SPM,9.45E+05,7.85E+04,12.0267,13.38,3331.3,18:0SPM
T306,16,16:0SPM,1.26E+06,6.62E+04,18.9829,13.38,5258.2,18:0SPM
T307,17,16:0SPM,8.56E+05,8.42E+04,10.1649,13.38,2815.5,18:0SPM
T308,18,16:0SPM,8.63E+05,7.58E+04,11.3951,13.37,3156.3,18:0SPM
T309,19,16:0SPM,1.11E+06,6.81E+04,16.3319,13.36,4523.8,18:0SPM
T311,20,16:0SPM,1.18E+06,6.08E+04,19.406,13.37,5375.4,18:0SPM
T312,21,16:0SPM,9.56E+05,6.67E+04,14.3434,13.4,3973.0,18:0SPM
T400,22,16:0SPM,8.31E+05,5.57E+04,14.9112,13.37,4130.3,18:0SPM
T401,23,16:0SPM,8.58E+05,6.60E+04,13.0048,13.36,3602.2,18:0SPM
T402,24,16:0SPM,8.78E+05,5.91E+04,14.8506,13.37,4113.5,18:0SPM
T404,25,16:0SPM,1.16E+06,7.07E+04,16.3488,13.39,4528.5,18:0SPM
T405,26,16:0SPM,1.19E+06,6.66E+04,17.8397,13.37,4941.5,18:0SPM
T406,27,16:0SPM,1.02E+06,6.37E+04,15.9493,13.51,4417.9,18:0SPM
T407,28,16:0SPM,9.27E+05,7.00E+04,13.2306,13.36,3664.8,18:0SPM
T408,29,16:0SPM,9.95E+05,7.15E+04,13.9194,13.56,3855.6,18:0SPM
