UO ID,16.0,18.0,20.0,22.0,23.0,24.0,24.1
T101,5,39.2,5,119,82.4,82.4,47.2
T103,5,60.1,5,78.9,61,65.9,43.1
T104,5,66.5,5,100.3,67.2,73.7,45.5
T105,5,60.6,5,74.4,46.6,39.2,38.2
T106,5,154.2,22.2,84,53.4,43.8,40.4
T107,5,255.9,37.2,199.9,116,107.1,140.7
T108,5,133.3,13.6,94.3,48.5,43.4,52.8
T109,5,68.5,6,77.5,59.7,50.9,43.3
T201,5,54,10.5,220.5,17.7,66.1,33.6
T202,5,54.1,5,132.4,16.2,58,22.9
T203,5,59.2,9.5,142.5,22,66,25.6
T204,5,104,18,249.9,27.4,77.8,23.6
T205,5,68.3,10.2,166.8,26.1,55.9,42.3
T304,5,65.8,15.2,91.8,66.5,40.5,49.1
T305,5,37.2,5,36.3,20.6,21.2,14.8
T306,5.5,61.1,6.6,84.7,42.7,45.6,55.4
T307,5,55.5,5,49,30.9,36.6,32
T308,5,66,12.5,89.7,67.5,58.2,39.3
T309,5.7,93.2,13.6,128.7,65.2,62.2,41
T311,5,75.8,21.5,106.1,45.5,62.2,65.2
T312,5,43.4,5.8,64.7,40.7,45.9,38.4
T400,5,58.6,16.7,206.7,22.8,69,33.8
T401,5,71.2,15.8,200.7,18.9,79,26.6
T402,7.1,102.7,12,190.9,24.7,83.2,33.7
T404,5,52.8,10.2,134.8,18.7,60.9,29.7
T405,5,58.8,9.2,199.2,23,66.8,21.5
T406,5,62.8,5,147.3,29.8,52.4,30
T407,5,68.7,5.6,123.5,20.1,66.4,36.2
T408,5,56.3,5,104.8,12.2,60.2,39.3
T500,5,66.7,5,64.1,44.5,35.7,36
T501,5,60,8.1,62.8,36.6,46,42.2
T502,5,42.5,5.1,48.7,38.4,20.2,22.9
T503,5,43.2,5,45.1,39.6,30.8,28.8
T504,5,86,9.6,72.7,50.2,38,29.7
T505,5,75.4,6.8,66.2,46.8,29.5,53.7
T506,5,48.8,5,39.8,27.9,27.9,30.6
